Date,return,
5/28/1929,0.015987182,
5/29/1929,0.001219305,
5/31/1929,0.008493438,
6/3/1929,0.017565322,
6/4/1929,0.014535672,
6/5/1929,-0.001951943,
6/6/1929,0.001951943,
6/7/1929,-0.004299323,
6/10/1929,-0.010236349,
6/11/1929,0.006311658,
6/12/1929,0.000786203,
6/13/1929,0.015207897,
6/14/1929,0.003476921,
6/17/1929,0.018342127,
6/18/1929,0.000378573,
6/19/1929,-0.003792193,
6/20/1929,0.005682872,
6/21/1929,0.005650872,
6/24/1929,0,
6/25/1929,0.010463436,
6/26/1929,0.005930299,
6/27/1929,0.001846115,
6/28/1929,0.01100521,
7/1/1929,0.013048391,
7/2/1929,0.010388738,
7/3/1929,0.004267467,
7/5/1929,0.004955762,
7/8/1929,0.001764015,
7/9/1929,-0.003177408,
7/10/1929,-0.002832863,
7/11/1929,0.002125364,
7/12/1929,0.010909839,
7/15/1929,-0.004209021,
7/16/1929,0.007005247,
7/17/1929,0.002440266,
7/18/1929,-0.002091287,
7/19/1929,0.00348311,
7/22/1929,-0.011540607,
7/23/1929,0.013971586,
7/24/1929,-0.006612204,
7/25/1929,0.00452887,
7/26/1929,-0.003830755,
7/29/1929,-0.016889916,
7/30/1929,0.011291581,
7/31/1929,0.013245192,
8/1/1929,0.006901373,
8/2/1929,0.01637141,
8/5/1929,-0.000676751,
8/6/1929,-0.003730749,
8/7/1929,-0.010246026,
8/8/1929,0.011604226,
8/9/1929,-0.037688126,
8/12/1929,0.030878464,
8/13/1929,0.008843629,
8/14/1929,0.003043113,
8/15/1929,0.001686592,
8/16/1929,0.018367489,
8/19/1929,0.00922276,
8/20/1929,0.005884293,
8/21/1929,-0.004246324,
8/22/1929,0.007825342,
8/23/1929,0.00969623,
8/26/1929,-0.000643501,
8/27/1929,-0.000643947,
8/28/1929,-0.001934204,
8/29/1929,0.009634018,
8/30/1929,0.013333467,
9/3/1929,0.003462966,
9/4/1929,-0.003147658,
9/5/1929,-0.022315207,
9/6/1929,0.025777084,
9/9/1929,-0.005039381,
9/10/1929,-0.018162041,
9/11/1929,0.013731686,
9/12/1929,-0.011483411,
9/13/1929,0.006714622,
9/16/1929,0.01518062,
9/17/1929,-0.008194215,
9/18/1929,0.002528446,
9/19/1929,0.001577039,
9/20/1929,-0.010773267,
9/23/1929,-0.000318624,
9/24/1929,-0.018656058,
9/25/1929,0.001622093,
9/26/1929,0.009035202,
9/27/1929,-0.028014829,
9/30/1929,-0.00364058,
10/1/1929,-0.00598605,
10/2/1929,0.007311465,
10/3/1929,-0.042271719,
10/4/1929,-0.010416795,
10/7/1929,0.060604123,
10/8/1929,-0.003290592,
10/9/1929,-0.002309851,
10/10/1929,0.017682157,
10/11/1929,-0.001624136,
10/14/1929,-0.006850492,
10/15/1929,-0.008216973,
10/16/1929,-0.035610045,
10/17/1929,0.015272688,
10/18/1929,-0.02904701,
10/21/1929,-0.039248453,
10/22/1929,0.019286312,
10/23/1929,-0.060889956,
10/24/1929,-0.032476589,
10/25/1929,0.014266716,
10/28/1929,-0.138575854,
10/29/1929,-0.107121079,
10/30/1929,0.11805493,
10/31/1929,0.049225041,
11/4/1929,-0.054021257,
11/6/1929,-0.104486679,
11/7/1929,0.036211673,
11/8/1929,-0.008930776,
11/11/1929,-0.064349631,
11/12/1929,-0.058581193,
11/13/1929,-0.058824321,
11/14/1929,0.08568925,
11/15/1929,0.053629392,
11/18/1929,-0.010398658,
11/19/1929,0.02991157,
11/20/1929,0.027163881,
11/21/1929,0.015858588,
11/22/1929,-0.003708859,
